Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,13.68,13.76,13.61,13.68,13.68,1704600
2017-10-17,13.64,13.69,13.57,13.62,13.62,1285100
2017-10-18,13.62,13.77,13.61,13.73,13.73,1219200
2017-10-19,13.65,13.71,13.55,13.62,13.62,1846300
2017-10-20,13.69,13.78,13.66,13.71,13.71,1317500
2017-10-23,13.72,13.77,13.67,13.75,13.75,1012700
2017-10-24,13.75,13.78,13.57,13.63,13.63,1497100
2017-10-25,13.62,13.71,13.52,13.66,13.66,1272000
2017-10-26,13.69,13.82,13.62,13.68,13.68,1756300
2017-10-27,13.66,13.73,13.49,13.69,13.69,1578000
2017-10-30,13.68,13.83,13.64,13.81,13.81,1394500
2017-10-31,13.83,13.83,13.63,13.66,13.66,1665500
2017-11-01,13.73,13.87,13.61,13.71,13.71,1900400
2017-11-02,13.67,13.83,13.58,13.8,13.8,1696400
2017-11-03,13.76,13.87,13.7,13.87,13.87,2278500
2017-11-06,13.89,14.28,13.84,14.28,14.28,4244400
2017-11-07,14.21,14.53,14.09,14.15,14.15,2639600
2017-11-08,14.08,14.15,14.01,14.14,14.14,1389400
2017-11-09,14.13,14.56,14.07,14.36,14.36,2515900
2017-11-10,14.66,15.79,14.59,15.1,15.1,5305800
2017-11-13,15.1,15.41,15.0,15.23,15.23,2704200
2017-11-14,15.17,15.5,15.11,15.27,15.27,3283600
2017-11-15,15.23,15.28,15.1,15.19,15.19,1929400
2017-11-16,15.18,15.73,15.15,15.72,15.72,2648200
2017-11-17,15.69,15.93,15.59,15.84,15.84,2524700
2017-11-20,15.83,15.83,15.62,15.67,15.67,2456300
2017-11-21,15.74,15.82,15.67,15.79,15.79,2538000
2017-11-22,15.82,15.87,15.76,15.77,15.77,2121200
2017-11-24,15.82,15.82,15.7,15.77,15.77,845600
2017-11-27,15.76,15.81,15.65,15.74,15.74,2445500
2017-11-28,15.8,16.16,15.73,16.15,16.15,3296300
2017-11-29,16.1,16.43,16.1,16.35,16.35,2314000
2017-11-30,16.4,16.42,16.1,16.16,16.16,3442100
2017-12-01,16.24,16.32,15.89,16.200001,16.200001,3096000
2017-12-04,16.26,16.870001000000002,16.200001,16.540001,16.540001,3559600
2017-12-05,16.59,16.65,16.27,16.4,16.4,2584700
2017-12-06,16.4,16.52,16.24,16.389999,16.389999,3525400
2017-12-07,16.379998999999998,16.389999,16.25,16.360001,16.360001,2694200
2017-12-08,16.42,16.559998999999998,16.360001,16.549999,16.549999,2012200
2017-12-11,16.559998999999998,16.75,16.5,16.59,16.59,3382000
2017-12-12,16.610001,16.620001000000002,16.139999,16.219998999999998,16.219998999999998,2410100
2017-12-13,16.27,16.33,16.17,16.280001000000002,16.280001000000002,3083000
2017-12-14,16.280001000000002,16.41,16.120001000000002,16.219998999999998,16.219998999999998,3204200
2017-12-15,16.23,16.25,16.0,16.02,16.02,5256300
2017-12-18,16.110001,16.370001000000002,16.07,16.33,16.33,3059600
2017-12-19,16.389999,16.459999,16.18,16.27,16.27,3640500
2017-12-20,16.34,16.42,16.219998999999998,16.24,16.24,2599400
2017-12-21,16.27,16.5,16.17,16.34,16.34,2069500
2017-12-22,16.32,16.450001,16.309998999999998,16.42,16.42,2790100
2017-12-26,16.42,16.48,16.299999,16.309998999999998,16.309998999999998,669400
2017-12-27,16.34,16.379998999999998,16.209999,16.25,16.25,1312600
2017-12-28,16.280001000000002,16.34,16.17,16.33,16.33,1133500
2017-12-29,16.34,16.379998999999998,16.209999,16.209999,16.209999,1380400
